CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 522.519531 1784813029.6447
MEM 523.050781 1784813029.7450
MEM 523.363281 1784813029.8452
MEM 523.519531 1784813029.9455
MEM 524.019531 1784813030.0458
MEM 524.394531 1784813030.1461
MEM 524.550781 1784813030.2464
MEM 524.582031 1784813030.3467
MEM 524.988281 1784813030.4470
MEM 527.988281 1784813030.5473
MEM 527.988281 1784813030.6475
MEM 527.988281 1784813030.7478
MEM 528.863281 1784813030.8481
MEM 528.871094 1784813030.9484
MEM 529.183594 1784813031.0486
MEM 529.558594 1784813031.1489
MEM 530.058594 1784813031.2492
MEM 530.808594 1784813031.3495
MEM 531.058594 1784813031.4497
MEM 531.339844 1784813031.5500
MEM 531.589844 1784813031.6503
MEM 532.214844 1784813031.7506
MEM 533.074219 1784813031.8509
MEM 533.074219 1784813031.9512
MEM 533.335938 1784813032.0514
MEM 533.710938 1784813032.1517
MEM 534.539062 1784813032.2520
MEM 535.164062 1784813032.3523
MEM 535.164062 1784813032.4526
MEM 535.539062 1784813032.5529
MEM 535.664062 1784813032.6534
MEM 535.789062 1784813032.7538
MEM 536.289062 1784813032.8540
MEM 536.414062 1784813032.9543
MEM 536.890625 1784813033.0546
MEM 537.410156 1784813033.1549
MEM 537.792969 1784813033.2551
MEM 538.105469 1784813033.3554
MEM 538.324219 1784813033.4556
MEM 538.824219 1784813033.5559
MEM 539.605469 1784813033.6579
MEM 540.355469 1784813033.7582
MEM 540.355469 1784813033.8585
MEM 540.761719 1784813033.9588
MEM 540.917969 1784813034.0591
MEM 541.292969 1784813034.1594
